>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Loss: 0.76763 | Best: 0.76763
Stage 1 | Step 6700 | Loss: 0.00030 | Best: 0.00012
Stage 1 | Step 6800 | Loss: 0.00031 | Best: 0.00012
Stage 1 | Step 6900 | Loss: 0.00014 | Best: 0.00012
Stage 1 | Step 7000 | Loss: 0.00025 | Best: 0.00012
Stage 1 | Step 7100 | Loss: 0.00032 | Best: 0.00012
Stage 1 | Step 7200 | Loss: 0.00038 | Best: 0.00012
Stage 1 | Step 7300 | Loss: 0.00031 | Best: 0.00012
Stage 1 | Step 7400 | Loss: 0.00023 | Best: 0.00012
Stage 1 | Step 7500 | Loss: 0.00026 | Best: 0.00012
Stage 1 | Step 7600 | Loss: 0.00035 | Best: 0.00012
Stage 1 | Step 7700 | Loss: 0.00028 | Best: 0.00012
Stage 1 | Step 7800 | Loss: 0.00020 | Best: 0.00012
Stage 1 | Step 7900 | Loss: 0.00033 | Best: 0.00012
Stage 1 | Step 8000 | Loss: 0.00013 | Best: 0.00012
Stage 1 | Step 8100 | Loss: 0.00019 | Best: 0.00012
Stage 1 | Step 8200 | Loss: 0.00014 | Best: 0.00012
Stage 1 | Step 8300 | Loss: 0.00012 | Best: 0.00012
Stage 1 | Step 8400 | Loss: 0.00033 | Best: 0.00012
Stage 1 | Step 8500 | Loss: 0.00027 | Best: 0.00012
Stage 1 | Step 8600 | Loss: 0.00037 | Best: 0.00012
Stage 1 | Step 8700 | Loss: 0.00025 | Best: 0.00012
Stage 1 | Step 8800 | Loss: 0.00023 | Best: 0.00012
Stage 1 | Step 8900 | Loss: 0.00037 | Best: 0.00012
Stage 1 | Step 9000 | Loss: 0.00020 | Best: 0.00012
Stage 1 | Step 9100 | Loss: 0.00028 | Best: 0.00012
Stage 1 | Step 9200 | Loss: 0.00033 | Best: 0.00012
Stage 1 | Step 9300 | Loss: 0.00034 | Best: 0.00012
Stage 1 | Step 9400 | Loss: 0.00046 | Best: 0.00012
Stage 1 | Step 9500 | Loss: 0.00030 | Best: 0.00012
Stage 1 | Step 9600 | Loss: 0.00021 | Best: 0.00012
Stage 1 | Step 9700 | Loss: 0.00016 | Best: 0.00012
Stage 1 | Step 9800 | Loss: 0.00021 | Best: 0.00012
Stage 1 | Step 9900 | Loss: 0.00023 | Best: 0.00012
>>> STAGE 2: BC Pre-training
Stage 2 | Step 0 | BC Loss: 0.01020 | Best: 0.01020
Stage 2 | Step 100 | BC Loss: 0.00026 | Best: 0.00026
Stage 2 | Step 200 | BC Loss: 0.00013 | Best: 0.00013
Stage 2 | Step 300 | BC Loss: 0.00013 | Best: 0.00013
Stage 2 | Step 400 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 500 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 600 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 700 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 800 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 900 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 1000 | BC Loss: 0.00011 | Best: 0.00010
Stage 2 | Step 1100 | BC Loss: 0.00011 | Best: 0.00010
Stage 2 | Step 1200 | BC Loss: 0.00011 | Best: 0.00010
Stage 2 | Step 1300 | BC Loss: 0.00010 | Best: 0.00010
Stage 2 | Step 1400 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 1500 | BC Loss: 0.00010 | Best: 0.00009
Stage 2 | Step 1600 | BC Loss: 0.00009 | Best: 0.00009
Stage 2 | Step 1700 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 1800 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 1900 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 2000 | BC Loss: 0.00011 | Best: 0.00008
Stage 2 | Step 2100 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 2200 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 2300 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2400 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2500 | BC Loss: 0.00011 | Best: 0.00008
Stage 2 | Step 2600 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 2700 | BC Loss: 0.00012 | Best: 0.00008
Stage 2 | Step 2800 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 2900 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 3000 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3100 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 3200 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3300 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3400 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3500 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3600 | BC Loss: 0.00009 | Best: 0.00008
Stage 2 | Step 3700 | BC Loss: 0.00008 | Best: 0.00008
Stage 2 | Step 3800 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 3900 | BC Loss: 0.00010 | Best: 0.00008
Stage 2 | Step 4000 | BC Loss: 0.00007 | Best: 0.00007
Stage 2 | Step 4100 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 4200 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 4300 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 4400 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 4500 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 4600 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 4700 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 4800 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 4900 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 5000 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 5100 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 5200 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 5300 | BC Loss: 0.00011 | Best: 0.00007
Stage 2 | Step 5400 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 5500 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 5600 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 5700 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 5800 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 5900 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 6000 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 6100 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 6200 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 6300 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 6400 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 6500 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 6600 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 6700 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 6800 | BC Loss: 0.00007 | Best: 0.00007
Stage 2 | Step 6900 | BC Loss: 0.00007 | Best: 0.00007
Stage 2 | Step 7000 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 7100 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 7200 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 7300 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 7400 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 7500 | BC Loss: 0.00007 | Best: 0.00007
Stage 2 | Step 7600 | BC Loss: 0.00007 | Best: 0.00007
Stage 2 | Step 7700 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 7800 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 7900 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 8000 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 8100 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 8200 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 8300 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 8400 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 8500 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 8600 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 8700 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 8800 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 8900 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9000 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9100 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9200 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 9300 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9400 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9500 | BC Loss: 0.00009 | Best: 0.00007
Stage 2 | Step 9600 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9700 | BC Loss: 0.00010 | Best: 0.00007
Stage 2 | Step 9800 | BC Loss: 0.00008 | Best: 0.00007
Stage 2 | Step 9900 | BC Loss: 0.00007 | Best: 0.00007

>>> STAGE 3: End-to-End SAC Fine-tuning

[DEBUG Step 0]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.356  0.     1.571  0.785]
2. Pred q (Encoder):  [ 0.001 -0.793  0.002 -2.352 -0.     1.567  0.787]
3. Remote q (Follow): [-0.001 -0.785 -0.    -2.356 -0.     1.571  0.786]
4. RL Torque:         [-47.363  -3.461 -53.93   13.596  -7.986  -2.04   11.471]
5. Actor Loss:        -3.5295
6. Critic Loss:       45.2108
7. BC Loss:           0.3848
8. Pred Loss:         0.0003
--------------------------------------------------
Step 56 | Episode Finish | Reward: 52.2 | EARLY STOP

[DEBUG Step 100]
--------------------------------------------------
1. True q (Leader):   [ 0.001 -0.787  0.001 -2.342  0.001  1.557  0.785]
2. Pred q (Encoder):  [ 0.023 -0.796  0.008 -2.369 -0.001  1.574  0.754]
3. Remote q (Follow): [ 0.114 -0.585 -0.298 -2.658  0.029  1.822  0.797]
4. RL Torque:         [-24.822 -45.904  33.735 -75.483   7.832   2.493  -2.03 ]
5. Actor Loss:        -9.2773
6. Critic Loss:       2.3429
7. BC Loss:           0.3717
8. Pred Loss:         0.0017
--------------------------------------------------
Step 117 | Episode Finish | Reward: 53.9 | EARLY STOP
Step 165 | Episode Finish | Reward: 41.1 | EARLY STOP

[DEBUG Step 200]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.787  0.    -2.345 -0.001  1.555  0.785]
2. Pred q (Encoder):  [ 0.002 -0.776 -0.001 -2.317 -0.004  1.568  0.774]
3. Remote q (Follow): [-0.191 -0.846  0.196 -2.383 -0.08   1.519  0.827]
4. RL Torque:         [ 62.38   43.075  85.223  35.04   -3.662   6.968 -11.362]
5. Actor Loss:        -9.1969
6. Critic Loss:       1.7609
7. BC Loss:           0.3402
8. Pred Loss:         0.0019
--------------------------------------------------
Step 258 | Episode Finish | Reward: 84.9 | EARLY STOP

[DEBUG Step 300]
--------------------------------------------------
1. True q (Leader):   [ 0.001 -0.788  0.001 -2.343  0.001  1.556  0.785]
2. Pred q (Encoder):  [-0.001 -0.772 -0.003 -2.305 -0.018  1.526  0.77 ]
3. Remote q (Follow): [-0.338 -0.818  0.409 -2.366  0.081  1.508  0.729]
4. RL Torque:         [-58.599  71.681 -59.245  78.229  10.123 -11.229  -6.442]
5. Actor Loss:        -9.6278
6. Critic Loss:       1.2705
7. BC Loss:           0.3391
8. Pred Loss:         0.0060
--------------------------------------------------
Step 321 | Episode Finish | Reward: 58.3 | EARLY STOP
Step 382 | Episode Finish | Reward: 58.3 | EARLY STOP

[DEBUG Step 400]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.354 -0.     1.568  0.785]
2. Pred q (Encoder):  [ 0.007 -0.7   -0.006 -2.173  0.     1.518  0.731]
3. Remote q (Follow): [-0.022 -0.687  0.031 -2.204 -0.045  1.447  0.773]
4. RL Torque:         [ 14.096  64.403 -53.354  38.271   5.705  -8.149  -1.405]
5. Actor Loss:        -10.2646
6. Critic Loss:       1.0970
7. BC Loss:           0.3464
8. Pred Loss:         0.0226
--------------------------------------------------
Step 436 | Episode Finish | Reward: 47.0 | EARLY STOP

[DEBUG Step 500]
--------------------------------------------------
1. True q (Leader):   [ 0.004 -0.785  0.002 -2.334  0.015  1.581  0.786]
2. Pred q (Encoder):  [ 0.013 -0.814 -0.01  -2.559 -0.005  1.709  0.828]
3. Remote q (Follow): [ 0.351 -0.666 -0.085 -2.046 -0.02   1.441  0.848]
4. RL Torque:         [ 11.226  70.752 -42.603  37.07   -1.858  -9.411   9.894]
5. Actor Loss:        -10.6337
6. Critic Loss:       0.7748
7. BC Loss:           0.3411
8. Pred Loss:         0.0410
--------------------------------------------------
Step 510 | Episode Finish | Reward: 77.5 | EARLY STOP
Step 582 | Episode Finish | Reward: 68.4 | EARLY STOP

[DEBUG Step 600]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.354 -0.     1.568  0.785]
2. Pred q (Encoder):  [-0.032 -0.796 -0.031 -2.529 -0.147  1.632  0.817]
3. Remote q (Follow): [-0.117 -0.741  0.114 -2.31  -0.003  1.536  0.766]
4. RL Torque:         [-55.058  82.061  53.258 -13.451   7.178   8.229   6.567]
5. Actor Loss:        -11.1869
6. Critic Loss:       0.5936
7. BC Loss:           0.3353
8. Pred Loss:         0.0504
--------------------------------------------------
Step 669 | Episode Finish | Reward: 73.8 | EARLY STOP

[DEBUG Step 700]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.787  0.    -2.345 -0.001  1.555  0.785]
2. Pred q (Encoder):  [-0.026 -0.78  -0.007 -2.526 -0.082  1.578  0.808]
3. Remote q (Follow): [-0.243 -0.611  0.201 -2.055 -0.002  1.427  0.792]
4. RL Torque:         [ 19.282  13.996 -48.88  -64.091  -5.417  -9.818   3.664]
5. Actor Loss:        -12.0213
6. Critic Loss:       0.7075
7. BC Loss:           0.3365
8. Pred Loss:         0.0663
--------------------------------------------------
Step 720 | Episode Finish | Reward: 44.2 | EARLY STOP
Step 783 | Episode Finish | Reward: 60.9 | EARLY STOP

[DEBUG Step 800]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.356 -0.     1.57   0.785]
2. Pred q (Encoder):  [-0.057 -0.764 -0.021 -2.441 -0.155  1.589  0.789]
3. Remote q (Follow): [-0.221 -0.808  0.131 -2.391  0.071  1.573  0.807]
4. RL Torque:         [-17.097  26.963  57.925  74.014  -6.81   -5.911  11.531]
5. Actor Loss:        -12.6911
6. Critic Loss:       0.5552
7. BC Loss:           0.3350
8. Pred Loss:         0.0697
--------------------------------------------------
Step 858 | Episode Finish | Reward: 65.2 | EARLY STOP

[DEBUG Step 900]
--------------------------------------------------
1. True q (Leader):   [ 0.001 -0.788  0.001 -2.343  0.001  1.556  0.785]
2. Pred q (Encoder):  [-0.068 -0.744 -0.044 -2.374 -0.167  1.656  0.784]
3. Remote q (Follow): [ 0.202 -0.614 -0.006 -2.103 -0.177  1.477  0.818]
4. RL Torque:         [ 64.048  76.034  78.272 -49.371  -0.058  -4.384  -8.35 ]
5. Actor Loss:        -13.1785
6. Critic Loss:       1.1352
7. BC Loss:           0.3417
8. Pred Loss:         0.0773
--------------------------------------------------
Step 923 | Episode Finish | Reward: 60.8 | EARLY STOP
Step 978 | Episode Finish | Reward: 50.5 | EARLY STOP

[DEBUG Step 1000]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.787  0.    -2.349 -0.     1.561  0.785]
2. Pred q (Encoder):  [-0.009 -0.722 -0.012 -2.347 -0.04   1.611  0.778]
3. Remote q (Follow): [ 0.068 -0.776 -0.076 -2.388 -0.024  1.58   0.778]
4. RL Torque:         [  6.81  -26.353  25.664 -71.888  -9.15   -9.536  -7.9  ]
5. Actor Loss:        -13.7316
6. Critic Loss:       0.4319
7. BC Loss:           0.3353
8. Pred Loss:         0.0715
--------------------------------------------------
Step 1052 | Episode Finish | Reward: 69.8 | EARLY STOP

[DEBUG Step 1100]
--------------------------------------------------
1. True q (Leader):   [ 0.001 -0.787  0.001 -2.34   0.004  1.559  0.785]
2. Pred q (Encoder):  [-0.014 -0.721 -0.013 -2.356 -0.041  1.615  0.786]
3. Remote q (Follow): [ 0.134 -0.466 -0.089 -1.837 -0.224  1.259  0.774]
4. RL Torque:         [-37.141 -27.1   -31.241 -34.655  -8.064  -9.212  -4.399]
5. Actor Loss:        -14.1088
6. Critic Loss:       0.7453
7. BC Loss:           0.3292
8. Pred Loss:         0.0713
--------------------------------------------------
Step 1110 | Episode Finish | Reward: 52.9 | EARLY STOP
Step 1177 | Episode Finish | Reward: 62.2 | EARLY STOP

[DEBUG Step 1200]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.787  0.    -2.348 -0.001  1.559  0.785]
2. Pred q (Encoder):  [-0.007 -0.695 -0.013 -2.311 -0.019  1.625  0.777]
3. Remote q (Follow): [ 0.14  -0.725 -0.014 -2.373 -0.024  1.657  0.881]
4. RL Torque:         [ 74.101   2.279 -30.748  50.738  -1.097   9.394  -7.32 ]
5. Actor Loss:        -14.3751
6. Critic Loss:       0.8160
7. BC Loss:           0.3274
8. Pred Loss:         0.0699
--------------------------------------------------
Step 1246 | Episode Finish | Reward: 61.9 | EARLY STOP

[DEBUG Step 1300]
--------------------------------------------------
1. True q (Leader):   [ 0.002 -0.787  0.001 -2.337  0.007  1.565  0.785]
2. Pred q (Encoder):  [ 0.002 -0.68   0.002 -2.319  0.017  1.703  0.778]
3. Remote q (Follow): [-0.49  -0.877  0.3   -2.451  0.171  1.436  0.86 ]
4. RL Torque:         [-63.83   67.973   3.384 -57.619  11.149   4.518   5.758]
5. Actor Loss:        -14.7354
6. Critic Loss:       0.7892
7. BC Loss:           0.3343
8. Pred Loss:         0.0733
--------------------------------------------------
Step 1315 | Episode Finish | Reward: 64.8 | EARLY STOP
Step 1368 | Episode Finish | Reward: 49.1 | EARLY STOP

[DEBUG Step 1400]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.787  0.    -2.345 -0.001  1.555  0.785]
2. Pred q (Encoder):  [ 0.    -0.712 -0.003 -2.363  0.015  1.65   0.783]
3. Remote q (Follow): [-0.481 -0.844  0.2   -2.343  0.141  1.575  0.843]
4. RL Torque:         [54.145 56.444  3.472  4.147 -9.801 -0.213 10.039]
5. Actor Loss:        -15.0619
6. Critic Loss:       0.9275
7. BC Loss:           0.3334
8. Pred Loss:         0.0733
--------------------------------------------------
Step 1424 | Episode Finish | Reward: 50.9 | EARLY STOP
Step 1493 | Episode Finish | Reward: 71.2 | EARLY STOP

[DEBUG Step 1500]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.356  0.     1.571  0.785]
2. Pred q (Encoder):  [ 0.002 -0.698 -0.004 -2.324  0.005  1.635  0.785]
3. Remote q (Follow): [-0.026 -0.791  0.013 -2.368  0.001  1.572  0.782]
4. RL Torque:         [ 49.611 -33.425  12.126  24.776  -9.353  -2.712  -1.585]
5. Actor Loss:        -15.3071
6. Critic Loss:       1.3224
7. BC Loss:           0.3288
8. Pred Loss:         0.0715
--------------------------------------------------
Step 1566 | Episode Finish | Reward: 69.7 | EARLY STOP

[DEBUG Step 1600]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.787  0.    -2.345 -0.001  1.555  0.785]
2. Pred q (Encoder):  [ 0.006 -0.71   0.003 -2.368  0.019  1.685  0.791]
3. Remote q (Follow): [ 0.255 -0.749 -0.192 -2.287  0.116  1.551  0.735]
4. RL Torque:         [ 24.411  15.709 -72.723 -66.545   1.674  -4.174  -0.627]
5. Actor Loss:        -15.6205
6. Critic Loss:       0.6728
7. BC Loss:           0.3362
8. Pred Loss:         0.0738
--------------------------------------------------
Step 1637 | Episode Finish | Reward: 64.6 | EARLY STOP
Step 1695 | Episode Finish | Reward: 55.2 | EARLY STOP

[DEBUG Step 1700]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.356  0.     1.571  0.785]
2. Pred q (Encoder):  [ 0.005 -0.72  -0.001 -2.381  0.012  1.669  0.796]
3. Remote q (Follow): [ 0.016 -0.779 -0.001 -2.349 -0.012  1.57   0.79 ]
4. RL Torque:         [-69.673  31.492  42.602 -47.002  -5.248  -5.189   2.658]
5. Actor Loss:        -15.9987
6. Critic Loss:       1.5396
7. BC Loss:           0.3299
8. Pred Loss:         0.0730
--------------------------------------------------
Step 1759 | Episode Finish | Reward: 56.9 | EARLY STOP

[DEBUG Step 1800]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.788  0.    -2.343  0.     1.556  0.785]
2. Pred q (Encoder):  [ 0.005 -0.722 -0.005 -2.361  0.027  1.653  0.789]
3. Remote q (Follow): [-0.137 -0.707  0.058 -2.343 -0.03   1.557  0.738]
4. RL Torque:         [-60.515 -53.306 -30.15   70.219   2.566   3.157  -6.818]
5. Actor Loss:        -16.3149
6. Critic Loss:       0.7296
7. BC Loss:           0.3322
8. Pred Loss:         0.0721
--------------------------------------------------
Step 1843 | Episode Finish | Reward: 84.6 | EARLY STOP

[DEBUG Step 1900]
--------------------------------------------------
1. True q (Leader):   [ 0.003 -0.786  0.002 -2.336  0.01   1.57   0.785]
2. Pred q (Encoder):  [-0.008 -0.711 -0.004 -2.292 -0.013  1.554  0.758]
3. Remote q (Follow): [ 0.128 -0.88  -0.121 -2.531  0.222  1.28   0.831]
4. RL Torque:         [-77.15   54.136  56.907  -7.641   3.901  -8.649   2.38 ]
5. Actor Loss:        -16.6870
6. Critic Loss:       1.3803
7. BC Loss:           0.3284
8. Pred Loss:         0.0696
--------------------------------------------------
Step 1914 | Episode Finish | Reward: 70.0 | EARLY STOP
Step 1997 | Episode Finish | Reward: 67.7 | EARLY STOP

[DEBUG Step 2000]
--------------------------------------------------
1. True q (Leader):   [ 0.    -0.785  0.    -2.356  0.     1.571  0.785]
2. Pred q (Encoder):  [ 0.013 -0.71   0.001 -2.345  0.035  1.643  0.779]
3. Remote q (Follow): [-0.005 -0.786 -0.    -2.356 -0.001  1.575  0.782]
4. RL Torque:         [-11.892 -80.487 -68.137 -79.251  -5.927   5.406  -4.172]
5. Actor Loss:        -17.1451
6. Critic Loss:       2.2811
7. BC Loss:           0.3347
8. Pred Loss:         0.0707
--------------------------------------------------
Step 2058 | Episode Finish | Reward: 59.3 | EARLY STOP

[DEBUG Step 2100]
--------------------------------------------------
1. True q (Leader):   [ 0.001 -0.788  0.001 -2.343  0.001  1.556  0.785]
2. Pred q (Encoder):  [-0.001 -0.725  0.001 -2.348  0.017  1.65   0.777]
